location_zip	fill_color	region_name
50006	#f09897	NORTHERN PLAINS
50007	#f09897	NORTHERN PLAINS
50008	#f09897	NORTHERN PLAINS
50009	#f09897	NORTHERN PLAINS
50010	#f09897	NORTHERN PLAINS
50011	#f09897	NORTHERN PLAINS
50014	#f09897	NORTHERN PLAINS
50020	#f09897	NORTHERN PLAINS
50021	#f09897	NORTHERN PLAINS
50022	#f09897	NORTHERN PLAINS
50025	#f09897	NORTHERN PLAINS
50026	#f09897	NORTHERN PLAINS
50028	#f09897	NORTHERN PLAINS
50029	#f09897	NORTHERN PLAINS
50033	#f09897	NORTHERN PLAINS
50034	#f09897	NORTHERN PLAINS
50035	#f09897	NORTHERN PLAINS
50036	#f09897	NORTHERN PLAINS
50038	#f09897	NORTHERN PLAINS
50039	#f09897	NORTHERN PLAINS
50040	#f09897	NORTHERN PLAINS
50041	#f09897	NORTHERN PLAINS
50042	#f09897	NORTHERN PLAINS
50046	#f09897	NORTHERN PLAINS
50047	#f09897	NORTHERN PLAINS
50048	#f09897	NORTHERN PLAINS
50049	#f09897	NORTHERN PLAINS
50050	#f09897	NORTHERN PLAINS
50051	#f09897	NORTHERN PLAINS
50052	#f09897	NORTHERN PLAINS
50054	#f09897	NORTHERN PLAINS
50055	#f09897	NORTHERN PLAINS
50056	#f09897	NORTHERN PLAINS
50057	#f09897	NORTHERN PLAINS
50058	#f09897	NORTHERN PLAINS
50059	#f09897	NORTHERN PLAINS
50060	#f09897	NORTHERN PLAINS
50061	#f09897	NORTHERN PLAINS
50062	#f09897	NORTHERN PLAINS
50063	#f09897	NORTHERN PLAINS
50064	#f09897	NORTHERN PLAINS
50065	#f09897	NORTHERN PLAINS
50066	#f09897	NORTHERN PLAINS
50067	#f09897	NORTHERN PLAINS
50068	#f09897	NORTHERN PLAINS
50069	#f09897	NORTHERN PLAINS
50070	#f09897	NORTHERN PLAINS
50071	#f09897	NORTHERN PLAINS
50072	#f09897	NORTHERN PLAINS
50073	#f09897	NORTHERN PLAINS
50074	#f09897	NORTHERN PLAINS
50075	#f09897	NORTHERN PLAINS
50076	#f09897	NORTHERN PLAINS
50101	#f09897	NORTHERN PLAINS
50102	#f09897	NORTHERN PLAINS
50103	#f09897	NORTHERN PLAINS
50107	#f09897	NORTHERN PLAINS
50108	#f09897	NORTHERN PLAINS
50109	#f09897	NORTHERN PLAINS
50111	#f09897	NORTHERN PLAINS
50115	#f09897	NORTHERN PLAINS
50116	#f09897	NORTHERN PLAINS
50117	#f09897	NORTHERN PLAINS
50118	#f09897	NORTHERN PLAINS
50120	#f09897	NORTHERN PLAINS
50122	#f09897	NORTHERN PLAINS
50123	#f09897	NORTHERN PLAINS
50124	#f09897	NORTHERN PLAINS
50125	#f09897	NORTHERN PLAINS
50126	#f09897	NORTHERN PLAINS
50127	#f09897	NORTHERN PLAINS
50128	#f09897	NORTHERN PLAINS
50129	#f09897	NORTHERN PLAINS
50130	#f09897	NORTHERN PLAINS
50131	#f09897	NORTHERN PLAINS
50132	#f09897	NORTHERN PLAINS
50133	#f09897	NORTHERN PLAINS
50134	#f09897	NORTHERN PLAINS
50138	#f09897	NORTHERN PLAINS
50139	#f09897	NORTHERN PLAINS
50140	#f09897	NORTHERN PLAINS
50141	#f09897	NORTHERN PLAINS
50144	#f09897	NORTHERN PLAINS
50146	#f09897	NORTHERN PLAINS
50147	#f09897	NORTHERN PLAINS
50148	#f09897	NORTHERN PLAINS
50149	#f09897	NORTHERN PLAINS
50150	#f09897	NORTHERN PLAINS
50151	#f09897	NORTHERN PLAINS
50154	#f09897	NORTHERN PLAINS
50155	#f09897	NORTHERN PLAINS
50156	#f09897	NORTHERN PLAINS
50161	#f09897	NORTHERN PLAINS
50162	#f09897	NORTHERN PLAINS
50164	#f09897	NORTHERN PLAINS
50165	#f09897	NORTHERN PLAINS
50166	#f09897	NORTHERN PLAINS
50167	#f09897	NORTHERN PLAINS
50168	#f09897	NORTHERN PLAINS
50169	#f09897	NORTHERN PLAINS
50170	#f09897	NORTHERN PLAINS
50174	#f09897	NORTHERN PLAINS
50201	#f09897	NORTHERN PLAINS
50206	#f09897	NORTHERN PLAINS
50208	#f09897	NORTHERN PLAINS
50210	#f09897	NORTHERN PLAINS
50211	#f09897	NORTHERN PLAINS
50212	#f09897	NORTHERN PLAINS
50213	#f09897	NORTHERN PLAINS
50214	#f09897	NORTHERN PLAINS
50216	#f09897	NORTHERN PLAINS
50217	#f09897	NORTHERN PLAINS
50218	#f09897	NORTHERN PLAINS
50220	#f09897	NORTHERN PLAINS
50222	#f09897	NORTHERN PLAINS
50223	#f09897	NORTHERN PLAINS
50225	#f09897	NORTHERN PLAINS
50226	#f09897	NORTHERN PLAINS
50228	#f09897	NORTHERN PLAINS
50229	#f09897	NORTHERN PLAINS
50230	#f09897	NORTHERN PLAINS
50232	#f09897	NORTHERN PLAINS
50233	#f09897	NORTHERN PLAINS
50234	#f09897	NORTHERN PLAINS
50235	#f09897	NORTHERN PLAINS
50236	#f09897	NORTHERN PLAINS
50237	#f09897	NORTHERN PLAINS
50238	#f09897	NORTHERN PLAINS
50239	#f09897	NORTHERN PLAINS
50240	#f09897	NORTHERN PLAINS
50244	#f09897	NORTHERN PLAINS
50246	#f09897	NORTHERN PLAINS
50247	#f09897	NORTHERN PLAINS
50248	#f09897	NORTHERN PLAINS
50249	#f09897	NORTHERN PLAINS
50250	#f09897	NORTHERN PLAINS
50252	#f09897	NORTHERN PLAINS
50254	#f09897	NORTHERN PLAINS
50257	#f09897	NORTHERN PLAINS
50258	#f09897	NORTHERN PLAINS
50261	#f09897	NORTHERN PLAINS
50262	#f09897	NORTHERN PLAINS
50263	#f09897	NORTHERN PLAINS
50264	#f09897	NORTHERN PLAINS
50265	#f09897	NORTHERN PLAINS
50266	#f09897	NORTHERN PLAINS
50271	#f09897	NORTHERN PLAINS
50272	#f09897	NORTHERN PLAINS
50273	#f09897	NORTHERN PLAINS
50274	#f09897	NORTHERN PLAINS
50275	#f09897	NORTHERN PLAINS
50276	#f09897	NORTHERN PLAINS
